school,total_posts,no_news_posts_in_period,avg_views_all_days,avg_views_on_post_days,avg_views_within_1_day,avg_views_within_3_days,avg_views_within_7_days,avg_views_no_recent_post,view_lift_on_post_days_pct,view_lift_within_1_day_pct,view_lift_within_3_days_pct,view_lift_within_7_days_pct,month
CHHS,0,True,30.93,,,,,30.93,,,,,2026-04-01_to_2026-04-30
CIFEC,0,True,14.97,,,,,14.97,,,,,2026-04-01_to_2026-04-30
EEPS,0,True,7.0,,,,,7.0,,,,,2026-04-01_to_2026-04-30
EMPS,0,True,5.14,,,,,5.14,,,,,2026-04-01_to_2026-04-30
JACPS,0,True,11.23,,,,,11.23,,,,,2026-04-01_to_2026-04-30
JCPS,0,True,9.15,,,,,9.15,,,,,2026-04-01_to_2026-04-30
JGHS,0,True,42.4,,,,,42.4,,,,,2026-04-01_to_2026-04-30
LHSS,0,True,14.7,,,,,14.7,,,,,2026-04-01_to_2026-04-30
LSHS,0,True,,,,,,,,,,,2026-04-01_to_2026-04-30
MMPS,0,True,11.9,,,,,11.9,,,,,2026-04-01_to_2026-04-30
PPPS,0,True,8.22,,,,,8.22,,,,,2026-04-01_to_2026-04-30
RBPS,0,True,16.93,,,,,16.93,,,,,2026-04-01_to_2026-04-30
SBPS,0,True,4.24,,,,,4.24,,,,,2026-04-01_to_2026-04-30
TMPS,0,True,6.08,,,,,6.08,,,,,2026-04-01_to_2026-04-30
WEPS,0,True,14.9,,,,,14.9,,,,,2026-04-01_to_2026-04-30
